Spieler	Verein	Position	Mio.Eu	void1	void2	PunktVorjahr	NoteVorjahr	void3	Gewicht  
Kimmich	Bayern	ABW	4,3			156	3,1	merken;	1,1	
Hernandez	Bayern	ABW	4,2			120		merken;	1	
Hummels	Dortmund	ABW	4,0			83	3,1	merken;		
Alaba	Bayern	ABW	4,0			137	3,0	merken;		
Süle	Bayern	ABW	4,0			106	3,2	merken;		
Schulz	Dortmund	ABW	3,8			144	2,9	merken;	1,1	
Tah	Leverkusen	ABW	3,8			133	3,1	merken;		
Orban	Leipzig	ABW	3,6			122	2,9	merken;		
Roussillon	Wolfsburg	ABW	3,5			148	2,9	merken;		
Hasebe	Frankfurt	ABW	3,4			111	3,0	merken;		
Klostermann	Leipzig	ABW	3,4			127	3,1	merken;		
Konaté	Leipzig	ABW	3,4			112	3,1	merken;		
Halstenberg	Leipzig	ABW	3,2			114	3,2	merken;		
Ginter	Gladbach	ABW	3,2			90	3,3	merken;		
Bender3	Leverkusen	ABW	3,0			85	3,0	merken;		
Boateng	Bayern	ABW	3,0			53	3,3	merken;		
Vogt	Hoffenheim	ABW	3,0			86	3,2	merken;		
Pavard	Bayern	ABW	3,0			26	3,8	merken;		
Akanji	Dortmund	ABW	3,0			72	3,4	merken;		
Moisander	Bremen	ABW	2,8			70	3,4	merken;		
Hinteregger	Frankfurt	ABW	2,8			78	3,6	merken;		
Zagadou	Dortmund	ABW	2,8			62	3,3	merken;		
Kabak	Schalke	ABW	2,8			41	3,6	merken;		
Hübner	Hoffenheim	ABW	2,7			31	3,2	merken;		
Elvedi	Gladbach	ABW	2,7			80	3,5	merken;		
Bender2	Leverkusen	ABW	2,6			70	3,3	merken;		
Piszczek	Dortmund	ABW	2,6			73	3,2	merken;		
da Costa	Frankfurt	ABW	2,6			80	3,5	merken;		
Ayhan	Düsseldorf	ABW	2,6			92	3,4	merken;		
Knoche	Wolfsburg	ABW	2,6			87	3,4	merken;		
Günter	Freiburg	ABW	2,6			93	3,3	merken;		
Jorge Meré	Köln	ABW	2,6			77		merken;	1	
Hakimi	Dortmund	ABW	2,6			50	3,6	merken;		
Bicakcic	Hoffenheim	ABW	2,5			89	3,1	merken;		
Hector	Köln	ABW	2,5			61		merken;	1	
Brooks	Wolfsburg	ABW	2,5			79	3,5	merken;		
Stark	Hertha	ABW	2,5			61	3,4	merken;		
Max	Augsburg	ABW	2,5			69	3,6	merken;		
Gouweleeuw	Augsburg	ABW	2,5			60	3,4	merken;		
Sané	Schalke	ABW	2,5			10	4,0	merken;		
Augustinsson	Bremen	ABW	2,4			69	3,6	merken;		
Mukiele	Leipzig	ABW	2,4			59	3,2	merken;		
Gebre Selassie	Bremen	ABW	2,3			84	3,5	merken;		
Lainer	Gladbach	ABW	2,3			48		merken;	1	
Mbabu	Wolfsburg	ABW	2,3			48		merken;	1	
Abraham	Frankfurt	ABW	2,2			15	3,8	merken;		
Subotic	Union	ABW	2,2			48		merken;	1	
Nastasic	Schalke	ABW	2,2			25	3,8	merken;		
Heintz	Freiburg	ABW	2,2			76	3,5	merken;		
Laimer	Leipzig	ABW	2,2			49	3,6	merken;		
Sinkgraven	Leverkusen	ABW	2,2			48		merken;	1	
Upamecano	Leipzig	ABW	2,2			43	3,3	merken;		
Bensebaini	Gladbach	ABW	2,2			48		merken;	1	
Wendt	Gladbach	ABW	2,0			51	3,7	merken;		
Oczipka	Schalke	ABW	2,0			19	3,9	merken;		
Dragovic	Leverkusen	ABW	2,0			50	3,4	merken;		
Plattenhardt	Hertha	ABW	2,0			21	3,8	merken;		
Weiser	Leverkusen	ABW	2,0			25	3,9	merken;		
Rekik	Hertha	ABW	2,0			34	3,6	merken;		
Torunarigha	Hertha	ABW	2,0			31	3,6	merken;		
Wendell	Leverkusen	ABW	2,0			21	3,9	merken;		
Koch	Freiburg	ABW	2,0			26	3,8	merken;		
Niakhaté	Mainz	ABW	2,0			40	3,8	merken;		
Ndicka	Frankfurt	ABW	2,0			65	3,4	merken;		
Durm	Frankfurt	ABW	1,9					merken;		
Aaron	Mainz	ABW	1,9			43	3,7	merken;		
Retsos	Leverkusen	ABW	1,9			0		merken;		
Suchy	Augsburg	ABW	1,8					merken;		
Gulde	Freiburg	ABW	1,8			70	3,3	merken;	1,1	
Zimmermann	Düsseldorf	ABW	1,8			52	3,7	merken;		
Schmelzer	Dortmund	ABW	1,8			16	3,5	merken;		
Toprak	Bremen	ABW	1,8			18	3,0	merken;		
Trimmel	Union	ABW	1,8					merken;		
Bell	Mainz	ABW	1,8			18	3,8	merken;		
Gießelmann	Düsseldorf	ABW	1,8			51	3,6	merken;		
Stafylidis	Hoffenheim	ABW	1,8			6	3,9	merken;		
