Spieler	Verein	Position	Mio.Eu	void1	void2	PunktVorjahr	NoteVorjahr	void3	Gewicht 
Neuer	Bayern	TOR	4,3			102	3,2	merken;		
Sommer	Gladbach	TOR	4,3			216	2,7	merken;		
Gulacsi	Leipzig	TOR	4,3			220	2,6	merken;		
Bürki	Dortmund	TOR	4,2			203	2,6	merken;		
Schwolow	Freiburg	TOR	3,8			193	2,7	merken;		
Pavlenka	Bremen	TOR	3,6			178	2,9	merken;		
Trapp	Frankfurt	TOR	3,6			175	2,8	merken;		
Casteels	Wolfsburg	TOR	3,6			151	2,7	merken;		
Jarstein	Hertha	TOR	3,5			182	2,7	merken;		
Hradecky	Leverkusen	TOR	3,4			151	3,0	merken;		
Baumann	Hoffenheim	TOR	3,2			158	2,9	merken;		
Horn	Köln	TOR	2,8			83		merken;	1	
Nübel	Schalke	TOR	2,8			83	3,0	merken;		
Koubek	Augsburg	TOR	2,6			83		merken;	1	
Müller	Mainz	TOR	2,6			109	3,0	merken;		
Gikiewicz	Union	TOR	2,5			83		merken;	1	
Steffen	Düsseldorf	TOR	2,2			83		merken;	1	
Mvogo	Leipzig	TOR	2,2			3	3,5	merken;		
Zingerle	Paderborn	TOR	1,8			83		merken;	1	
Ulreich	Bayern	TOR	1,2			35	3,1	merken;		
Giefer	Augsburg	TOR	1,0			-2	4,1	merken;		
Hitz	Dortmund	TOR	1,0			0	4,0	merken;		
Rensing	Düsseldorf	TOR	1,0			104	3,3	merken;	0,99	
Zentner	Mainz	TOR	1,0			59	2,7	merken;		
Schubert	Schalke	TOR	1,0			41		merken;	1	
Pervan	Wolfsburg	TOR	1,0			41	2,9	merken;		
Luthe	Augsburg	TOR	0,8			54	3,3	merken;		
Kapino	Bremen	TOR	0,8			3	3,0	merken;		
Rönnow	Frankfurt	TOR	0,8			9	3,0	merken;		
Pentke	Hoffenheim	TOR	0,8			9		merken;	1	
Özcan	Leverkusen	TOR	0,8			11	3,0	merken;		
Flekken	Freiburg	TOR	0,7			8	2,0	merken;		
Wolf	Düsseldorf	TOR	0,2			0		merken;	0,6	
Sippel	Gladbach	TOR	0,6			0		merken;		
Kraft	Hertha	TOR	0,6			9	3,5	merken;		
Huth	Paderborn	TOR	0,6			0		merken;		
Kessler	Köln	TOR	0,5			0		merken;	1	
Busk	Union	TOR	0,5			0		merken;	1	
Nicolas	Union	TOR	0,5			0		merken;		
Wiedwald	Frankfurt	TOR	0,4			0		merken;		
Tschauner	Leipzig	TOR	0,4			0	4,0	merken;		
Früchtl	Bayern	TOR	0,3			0		merken;		
Plogmann	Bremen	TOR	0,3			3	3,0	merken;		
Leneis	Augsburg	TOR	0,2			0		merken;		
Hoffmann	Bayern	TOR	0,2			0		merken;		
Oelschlägel	Dortmund	TOR	0,2			0		merken;		
Unbehaun	Dortmund	TOR	0,2			0		merken;	1	
Wiesner	Düsseldorf	TOR	0,2			0		merken;		
Kastenmeier	Düsseldorf	TOR	0,2			0		merken;	1	
Theißen	Düsseldorf	TOR	0,2			0		merken;		
Zimmermann	Frankfurt	TOR	0,2			0		merken;		
Thiede	Freiburg	TOR	0,2			0		merken;	1	
Grün	Gladbach	TOR	0,2			0		merken;	1	
Smarsch	Hertha	TOR	0,2			0		merken;		
Stolz	Hoffenheim	TOR	0,2			0		merken;		
Krahl	Köln	TOR	0,2			0		merken;		
Scott	Köln	TOR	0,2			0		merken;	1	
Lomb	Leverkusen	TOR	0,2			0		merken;	1	
Dahmen	Mainz	TOR	0,2			0		merken;		
Hanin	Mainz	TOR	0,2			0		merken;	1	
Ratajczak	Paderborn	TOR	0,2			0		merken;	1	
Brüggemeier	Paderborn	TOR	0,2			0		merken;	1	
Langer	Schalke	TOR	0,2			0		merken;		
Klinger	Wolfsburg	TOR	0,2			0		merken;	1	
Menzel	Wolfsburg	TOR	0,2			0		merken;		
