Spieler	Verein	Position	Mio.Eu	void1	void2	PunktVorjahr	NoteVorjahr	void3 	Gewicht 
Abrashi	Freiburg	MIT	1,5			15	3,6	merken;		
Adams	Leipzig	MIT	2,8			42	2,9	merken;		
Albrecht	Hertha	MIT	0,2					merken;		
Amiri	Leverkusen	MIT	3,2			45	3,3	merken;		
Ampomah	Düsseldorf	MIT	1,7					merken;		
Andrich	Union	MIT	1,0					merken;		
Antwi-Adjei	Paderborn	MIT	2,0			29		merken;	1	
Aranguiz	Leverkusen	MIT	4,2			113	3,0	merken;		
Arcones	Union	MIT	0,2					merken;		
Arnold	Wolfsburg	MIT	3,0			105	3,4	merken;		
Azzaoui	Wolfsburg	MIT	0,4			0		merken;		
Azzinnari	Paderborn	MIT	0,2					merken;		
Baier	Augsburg	MIT	1,8			45	3,7	merken;		
Baker	Düsseldorf	MIT	1,6					merken;		
Baku	Mainz	MIT	1,5			35	3,4	merken;		
Bargfrede	Bremen	MIT	1,8			29	3,5	merken;		
Barkok	Düsseldorf	MIT	1,4			6	3,9	merken;		
Barreiro	Mainz	MIT	0,5			0	4,0	merken;		
Baumgartlinger	Leverkusen	MIT	2,4			66	3,1	merken;		
Baumgartner	Hoffenheim	MIT	0,8			-4	4,0	merken;		
Benes	Gladbach	MIT	1,4			1		merken;		
Bentaleb	Schalke	MIT	2,2			13	4,0	merken;		
Bidstrup	Leipzig	MIT	0,3					merken;		
Bittencourt	Hoffenheim	MIT	2,4			35	3,6	merken;		
Bodzek	Düsseldorf	MIT	1,0			16	3,8	merken;		
Boetius	Mainz	MIT	3,0			91	3,4	merken;		
Borrello	Freiburg	MIT	0,5			0		merken;		
Boujellab	Schalke	MIT	1,2			9	3,6	merken;		
Brandt	Dortmund	MIT	6,5			160	3,1	merken;		
Brekalo	Wolfsburg	MIT	2,2			37	3,8	merken;		
Brenet	Hoffenheim	MIT	1,8			33	3,5	merken;		
Bruun Larsen	Dortmund	MIT	1,8			11	4,1	merken;		
Bühler	Düsseldorf	MIT	0,2					merken;		
Caiuby	Augsburg	MIT	1,5			12	3,8	merken;		
Caligiuri	Schalke	MIT	3,0			63	3,8	merken;		
Camacho	Wolfsburg	MIT	1,8			27	3,0	merken;		
Cavar	Frankfurt	MIT	0,2			0		merken;		
Cetin	Frankfurt	MIT	0,2			0		merken;		
Churlinov	Köln	MIT	0,4					merken;		
Clemens	Köln	MIT	1,2					merken;		
Coman	Bayern	MIT	7,0			121	2,8	merken;		
Covic	Hertha	MIT	0,2			0		merken;		
Cuisance	Gladbach	MIT	1,4			3	4,8	merken;		
Dahoud	Dortmund	MIT	2,6			15	3,8	merken;		
Dardai	Hertha	MIT	0,6			2	5,0	merken;		
Darida	Hertha	MIT	2,0			4	4,0	merken;		
Davies	Bayern	MIT	2,3			14	2,5	merken;		
de Guzman	Frankfurt	MIT	1,8			54	3,6	merken;		
Dehl	Union	MIT	0,2					merken;		
Delaney	Dortmund	MIT	3,5			99	3,3	merken;		
Demirbay	Leverkusen	MIT	5,0			147	2,9	merken;		
Demme	Leipzig	MIT	2,8			81	3,2	merken;		
Dilrosun	Hertha	MIT	2,2			36	3,5	merken;		
Dörfler	Paderborn	MIT	1,0					merken;		
Drexler	Köln	MIT	2,5			44		merken;	1	
Duda	Hertha	MIT	3,2			114	3,6	merken;		
Eggestein	Bremen	MIT	4,8			155	3,1	merken;		
Esswein	Hertha	MIT	1,2			-7	4,2	merken;		
Fernandes	Mainz	MIT	2,4			37		merken;	1	
Fernandes	Frankfurt	MIT	1,5			35	3,7	merken;		
Finger	Frankfurt	MIT	0,2			0		merken;		
Fink	Düsseldorf	MIT	1,8			56	3,3	merken;		
Flecker	Union	MIT	1,0					merken;		
Forsberg	Leipzig	MIT	5,5			85	3,1	merken;		
Frantz	Freiburg	MIT	2,0			62	3,6	merken;		
Friede	Hertha	MIT	0,5			0		merken;		
Gacinovic	Frankfurt	MIT	1,6			27	3,7	merken;		
Geiger	Hoffenheim	MIT	1,8			4	3,8	merken;		
Gentner	Union	MIT	1,8			2	4,1	merken;		
Gerhardt	Wolfsburg	MIT	2,2			70	3,5	merken;		
Gjasula	Paderborn	MIT	1,2					merken;		
Gnabry	Bayern	MIT	6,5			148	3,0	merken;		
Gogia	Union	MIT	1,4					merken;		
Gondorf	Freiburg	MIT	1,5			39	3,7	merken;		
Goretzka	Bayern	MIT	5,0			118	3,3	merken;		
Gregoritsch	Augsburg	MIT	2,6			57	3,8	merken;		
Grifo	Hoffenheim	MIT	3,0			98	3,3	merken;		
Grillitsch	Hoffenheim	MIT	3,6			108	3,2	merken;		
Gruev	Bremen	MIT	0,2					merken;		
Gruezo	Augsburg	MIT	1,8					merken;		
Grujic	Hertha	MIT	3,0			80	3,3	merken;		
Guerreiro	Dortmund	MIT	3,0			77	3,2	merken;		
Guilavogui	Wolfsburg	MIT	3,0			76	3,2	merken;		
Haberer	Freiburg	MIT	2,5			74	3,4	merken;		
Hahn	Augsburg	MIT	2,0			41	3,8	merken;		
Haidara	Leipzig	MIT	2,5			15	3,6	merken;		
Harit	Schalke	MIT	2,2			-2	4,2	merken;		
Hauptmann	Köln	MIT	1,2					merken;		
Havertz	Leverkusen	MIT	8,0			247	2,8	merken;		
Hazard	Dortmund	MIT	6,0			147	3,3	merken;		
Hilßner	Paderborn	MIT	0,6					merken;		
Höfler	Freiburg	MIT	1,6			14	3,8	merken;		
Hofmann	Gladbach	MIT	2,8			96	3,3	merken;	0,9	
Höger	Köln	MIT	1,6					merken;		
Ilsanker	Leipzig	MIT	1,5			9	3,8	merken;		
Jastrzembski	Hertha	MIT	0,6			5		merken;		
Javi Martinez	Bayern	MIT	4,0			72	3,2	merken;		
Jensen	Augsburg	MIT	1,5			-4	4,5	merken;		
Jeong	Freiburg	MIT	1,0			1		merken;		
Joao Victor	Wolfsburg	MIT	1,5					merken;		
Johnson	Gladbach	MIT	1,5			18	3,9	merken;		
José Rodriguez	Mainz	MIT	0,3			0		merken;		
Kade	Union	MIT	0,8			0		merken;		
Kaderabek	Hoffenheim	MIT	3,0			102	3,3	merken;		
Kahraman	Union	MIT	0,3					merken;		
Kainz	Köln	MIT	1,6			18	3,3	merken;		
Kalou	Hertha	MIT	2,6			71	3,7	merken;		
Kamada	Frankfurt	MIT	1,4			0		merken;		
Kammerbauer	Freiburg	MIT	0,4			1		merken;		
Kampl	Leipzig	MIT	3,6			117	3,0	merken;		
Kapic	Paderborn	MIT	1,3					merken;		
Kath	Freiburg	MIT	0,6			0		merken;		
Khedira	Augsburg	MIT	2,8			84	3,5	merken;		
Klaassen	Bremen	MIT	3,5			106	3,4	merken;		
Klaus	Wolfsburg	MIT	1,8			20	3,8	merken;		
Kohr	Frankfurt	MIT	2,0			34	3,4	merken;		
Konoplyanka	Schalke	MIT	1,8			9	3,8	merken;		
Kostic	Frankfurt	MIT	3,6			137	3,3	merken;		
Koziello	Köln	MIT	1,4					merken;		
Kramer	Gladbach	MIT	2,4			48	3,3	merken;		
Krauß	Leipzig	MIT	0,2					merken;		
Kroos	Union	MIT	1,3					merken;		
Kunde	Mainz	MIT	2,0			59	3,5	merken;		
Kwon	Freiburg	MIT	2,0			29		merken;	1	
Latza	Mainz	MIT	1,8			41	3,6	merken;		
Leckie	Hertha	MIT	1,5			33	3,8	merken;		
Lovren	Düsseldorf	MIT	0,3			-2	4,5	merken;		
Löwen	Hertha	MIT	1,8			28	3,9	merken;		
Maier	Hertha	MIT	2,2			44	3,6	merken;		
Malli	Wolfsburg	MIT	2,2			22	3,8	merken;		
Mascarell	Schalke	MIT	1,8			-3	4,1	merken;		
Matondo	Schalke	MIT	2,2			2	5,0	merken;		
Maxim	Mainz	MIT	1,2			29	3,5	merken;		
McKennie	Schalke	MIT	2,6			48	3,6	merken;		
Mees	Union	MIT	1,4					merken;		
Mehmedi	Wolfsburg	MIT	2,8			97	3,3	merken;		
Mercan	Schalke	MIT	0,6					merken;		
Möhwald	Bremen	MIT	1,8			49	3,4	merken;		
Morales	Düsseldorf	MIT	1,3			23	3,9	merken;		
Moravek	Augsburg	MIT	1,0			-2	4,1	merken;		
Müller	Bayern	MIT	6,5			149	3,1	merken;		
Müller	Frankfurt	MIT	1,4			2	4,5	merken;		
Müsel	Gladbach	MIT	0,5			0		merken;		
Mwene	Mainz	MIT	1,0			8	3,5	merken;		
Neuhaus	Gladbach	MIT	3,2			95	3,4	merken;		
Nkunku	Leipzig	MIT	3,0			86		merken;	1	
Ntep	Wolfsburg	MIT	0,4			0		merken;		
Ochs	Hoffenheim	MIT	0,5			0		merken;		
Oliveira Souza	Paderborn	MIT	1,0					merken;		
Özcan	Köln	MIT	0,8					merken;		
Öztunali	Mainz	MIT	1,5			-4	4,1	merken;		
Perisic	Bayern	MIT	4,5			134		merken;	1	
Philipp	Bremen	MIT	0,3					merken;		
Pledl	Düsseldorf	MIT	1,2					merken;		
Pröger	Paderborn	MIT	1,6					merken;		
Prömel	Union	MIT	1,8					merken;		
Raschl	Dortmund	MIT	0,3					merken;		
Ravet	Freiburg	MIT	1,0			-2	5,0	merken;		
Renato Sanches	Bayern	MIT	2,2			15	3,8	merken;		
Reus	Dortmund	MIT	8,0			206	2,9	merken;		
Rexhbecaj	Wolfsburg	MIT	2,0			49	3,5	merken;		
Risse	Köln	MIT	1,4					merken;		
Ritter	Paderborn	MIT	1,4					merken;		
Rode	Frankfurt	MIT	2,3			47	3,1	merken;		
Rüdlin	Freiburg	MIT	0,2					merken;		
Rudy	Hoffenheim	MIT	2,2			-28	4,5	merken;		
Rupp	Hoffenheim	MIT	1,8			1		merken;		
Ryerson	Union	MIT	0,8					merken;		
Sabitzer	Leipzig	MIT	4,0			106	3,3	merken;		
Sahin	Bremen	MIT	1,8			24	3,8	merken;		
Sallai	Freiburg	MIT	1,6			24	3,5	merken;		
Samassekou	Hoffenheim	MIT	2,8			80		merken;	1	
Sancho	Dortmund	MIT	7,0			207	2,9	merken;		
Sarenren Bazee	Augsburg	MIT	1,0			0	4,0	merken;		
Schaub	Köln	MIT	1,8					merken;		
Schindler	Köln	MIT	1,8					merken;		
Schlager	Wolfsburg	MIT	2,4			37		merken;	1	
Schmid	Freiburg	MIT	1,8			50	3,8	merken;		
Schmiedebach	Union	MIT	1,6					merken;		
Schöpf	Schalke	MIT	2,0			6	4,1	merken;		
Schwede	Paderborn	MIT	0,8					merken;		
Serdar	Schalke	MIT	2,4			2	4,0	merken;		
Skhiri	Köln	MIT	2,0			29		merken;	1	
Skjelbred	Hertha	MIT	1,5			27	3,5	merken;		
Skrzybski	Schalke	MIT	1,8			25	3,9	merken;		
Sobottka	Düsseldorf	MIT	1,6			25	3,5	merken;		
Sow	Frankfurt	MIT	2,0			29		merken;	1	
Stambouli	Schalke	MIT	2,0			6	4,0	merken;		
Stanilewicz	Leverkusen	MIT	0,2					merken;		
Steffen	Wolfsburg	MIT	2,2			65	3,6	merken;		
Stendera0	Frankfurt	MIT	0,2			0		merken;		
Stendera1	Frankfurt	MIT	0,8			13	2,8	merken;		
Stindl	Gladbach	MIT	4,0			65	3,4	merken;		
Stöger	Düsseldorf	MIT	2,6			118	3,0	merken;	0,9	
Straudi	Bremen	MIT	0,2					merken;		
Strobl	Gladbach	MIT	2,0			61	3,5	merken;		
Teigl	Augsburg	MIT	1,0			-1	4,3	merken;		
Tekpetey	Düsseldorf	MIT	2,0			29		merken;	1	
Terrazzino	Freiburg	MIT	1,3			8	4,1	merken;		
Thiago	Bayern	MIT	6,5			143	2,9	merken;		
Thommy	Düsseldorf	MIT	1,5			-15	4,4	merken;		
Tolisso	Bayern	MIT	3,6			11	2,5	merken;		
Torro	Frankfurt	MIT	1,5			12	3,6	merken;		
Vargas	Augsburg	MIT	1,8					merken;		
Vasiliadis	Paderborn	MIT	1,8					merken;		
Verstraete	Köln	MIT	2,2			29		merken;	1	
Weigl	Dortmund	MIT	2,6			40	3,5	merken;		
Witsel	Dortmund	MIT	5,0			135	3,2	merken;		
Wolf	Leipzig	MIT	2,5			44		merken;	1	
Wolf	Dortmund	MIT	2,0			-2	4,2	merken;		
Yeboah	Wolfsburg	MIT	0,8			4	3,0	merken;		
Zakaria	Gladbach	MIT	2,8			83	3,4	merken;		
Zuber	Hoffenheim	MIT	2,2			48	3,7	merken;		
Zulj	Hoffenheim	MIT	1,0			0		merken;		
